cnote,dispatch_time,client_name,weight,origin_cluster,to_pincode,trip_id,bp_id,serviceability
1003060486,2019-05-11 09:08:00.0,Sun Pharmaceutical Industries Ltd.,65.0,BOMT1,209625,846740,BP1545,ODA_5_5
1003369283,2019-05-11 09:08:00.0,L&T Electrical  & Automation,30.0,NAGT1,209625,846740,BP1545,ODA_5_5
1003165042,2019-05-11 09:08:00.0,Ncubate India Services Pvt. Ltd- (Ncubate),9.0,LKOT1,209601,846740,BP1545,ODA_5_5
1003154899,2019-05-11 09:08:00.0,ITC LTD-KOLKATA,14.0,DELT1,209625,846740,BP1545,ODA_5_5
1002938923,2019-05-10 23:34:00.0,Tesna Tech Pvt. Ltd.,4651.0,AMBT1,521111,846754,BP1100,ODA_1_1
8000691635,2019-05-10 22:33:00.0,RETAIL,230.0,DELT1,125052,846755,BP1072,ODA_1_1
2000858984,2019-05-11 09:45:00.0,RETAIL,8.0,BOMT1,388255,846759,BP1478,ODA_2_2
1003306149,2019-05-11 09:45:00.0,Sekhani Industries Pvt Ltd,11.6,AMDT1,388120,846759,BP1478,ODA_1_1
1003306150,2019-05-11 09:45:00.0,Sekhani Industries Pvt Ltd,11.6,AMDT1,388121,846759,BP1478,ODA_1_1
1003314124,2019-05-10 23:51:00.0,Brightstar Telecommunications India Limited-ST,197.0,MAAT2,125050,846766,BP1072,ODA_2_2
1002448979,2019-05-11 10:44:00.0,Gunnebo India Pvt. Ltd. (Small),100.0,JAIT1,389350,846774,BP1591,ODA_1_1
1003374914,2019-05-11 10:44:00.0,DKSH INDIA PRIVATE LIMITED,300.0,BOMT1,391510,846774,BP1591,ODA_1_1
1003370796,2019-05-11 10:44:00.0,C & S ELECTRIC 60,30.0,NOIT1,391520,846774,BP1591,ODA_1_1
1003139246,2019-05-11 07:22:00.0,godrej & boyce chennai,162.0,MAAT2,421503,846791,BP1487,ODA_1_1
1003333727,2019-05-11 07:22:00.0,GlaxoSmithKline Consumer Healthcare Limited,40.0,HYDT1,421503,846791,BP1487,ODA_1_1
1003375709,2019-05-11 07:29:00.0,GlaxoSmithKline Consumer Healthcare Limited,1.5,HYDT1,421306,846799,BP1145,ODA_1_1
1002763421,2019-05-11 07:13:00.0,S CHAND AND COMPANY LIMITED,25.0,DELT1,221009,846813,BP1116,ODA_1_1
2000856939,2019-05-11 05:57:00.0,RETAIL,55.0,BOMT1,496116,846823,BP1473,ODA_3_5
1003118993,2019-05-11 06:16:00.0,IFF Fragrance,1212.0,MAAT2,210502,846824,BP1545,ODA_3_5
1003118994,2019-05-11 06:16:00.0,IFF Fragrance,3434.0,MAAT2,210502,846824,BP1545,ODA_3_5
8000815462,2019-05-11 09:59:00.0,Bluemoon International,55.0,DELT1,396171,846859,BP1332,ODA_1_1
1003138944,2019-05-11 09:59:00.0,MARKEM-IMAJE INDIA PVT LTD,4.0,NOIT1,396120,846859,BP1332,ODA_1_1
1003138937,2019-05-11 09:59:00.0,MARKEM-IMAJE INDIA PVT LTD,2.0,NOIT1,396171,846859,BP1332,ODA_1_1
1002444522,2019-05-11 09:59:00.0,Zodiac Clothing pvt. Ltd,1677.0,AMDT1,396171,846859,BP1332,ODA_1_1
1003139248,2019-05-11 09:47:00.0,godrej & boyce chennai,100.0,MAAT2,396230,846860,BP1339,ODA_1_1
1003138942,2019-05-11 09:47:00.0,MARKEM-IMAJE INDIA PVT LTD,1.0,NOIT1,396230,846860,BP1339,ODA_1_1
8000815473,2019-05-11 09:47:00.0,Bluemoon International,25.0,DELT1,396230,846860,BP1339,ODA_1_1
1003306775,2019-05-11 09:58:00.0,Foundation Brake Manufaturing Pvt. Ltd ,4596.0,JAIT1,382255,846869,BP1143,ODA_3_7
1003314335,2019-05-11 08:10:00.0,Addisons Paints & Chemicals A Division of Simpson & co ltd,460.0,MAAT2,360030,846877,BP1334,ODA_1_1
1003312047,2019-05-11 09:01:00.0,NAANAL TECHNOLOGIES PVT LTD,4.0,MAAT1,713128,846897,BP1285,ODA_1_1
1003374745,2019-05-11 08:29:00.0,Sun Pharmaceutical Industries Ltd.,19.0,BOMT1,206001,846913,BP1510,ODA_4_5
1003374695,2019-05-11 08:29:00.0,Sun Pharmaceutical Industries Ltd.,10.0,BOMT1,206001,846913,BP1510,ODA_4_5
1003374694,2019-05-11 08:29:00.0,Sun Pharmaceutical Industries Ltd.,10.0,BOMT1,206001,846913,BP1510,ODA_4_5
2000844536,2019-05-11 08:29:00.0,RETAIL,200.0,DELT1,206001,846913,BP1510,ODA_4_5
8000760818,2019-05-11 08:29:00.0,BALAJI ACTION BUILDWELL,50.0,DELT1,206001,846913,BP1510,ODA_4_5
1003154809,2019-05-11 08:29:00.0,ITC LTD-KOLKATA,5.0,DELT1,206001,846913,BP1510,ODA_4_5
1003076036,2019-05-11 08:29:00.0,Bmw Pharmaco India Pvt. Ltd.,103.0,IDRT1,205001,846915,BP1510,ODA_4_5
1003360502,2019-05-11 08:29:00.0,Hindware (Other),18.0,AMDT1,205001,846915,BP1510,ODA_4_5
1003380666,2019-05-11 08:29:00.0,OBAN FASHIONS PVT LTD,5.0,BOMT1,205001,846915,BP1510,ODA_4_5
1003380016,2019-05-11 08:29:00.0,Carex Cargo Forwarders Pvt Ltd,272.0,BOMT1,205001,846915,BP1510,ODA_4_5
8000496527,2019-05-11 09:55:00.0,RETAIL,148.0,DELT1,493661,846922,BP1089,ODA_1_1
1003374801,2019-05-11 08:58:00.0,Sun Pharmaceutical Industries Ltd.,19.0,BOMT1,207001,846931,BP1510,ODA_3_5
1003374687,2019-05-11 08:58:00.0,Sun Pharmaceutical Industries Ltd.,10.0,BOMT1,207001,846931,BP1510,ODA_3_5
1003046182,2019-05-11 08:58:00.0,L&T Electrical  & Automation,8.0,NAGT1,207123,846931,BP1510,ODA_4_5
1003046191,2019-05-11 08:58:00.0,L&T Electrical  & Automation,10.0,NAGT1,207123,846931,BP1510,ODA_4_5
1003372185,2019-05-11 08:58:00.0,ITC LTD-KOLKATA,20.0,DELT1,207123,846931,BP1510,ODA_4_5
8000760820,2019-05-11 08:59:00.0,BALAJI ACTION BUILDWELL,50.0,DELT1,283203,846940,BP1510,ODA_2_2
1003095050,2019-05-11 08:37:00.0,KWE - ISUZU,2.0,MAAT2,370001,846941,BP1506,ODA_3_7
8000163978,2019-05-11 08:37:00.0,Aimil India Ltd.,20.0,DELT1,370001,846941,BP1506,ODA_3_7
1003370121,2019-05-11 08:37:00.0,Ravi Foods Pvt. Ltd.,118.0,HYDT1,370001,846941,BP1506,ODA_3_7
1003306123,2019-05-11 08:37:00.0,Sekhani Industries Pvt Ltd,78.0,AMDT1,370001,846941,BP1506,ODA_3_7
1003316537,2019-05-11 08:10:00.0,Sri Sai Enterprises,2000.0,DELT1,385001,846951,BP1240,ODA_2_2
1003326312,2019-05-11 10:00:00.0,ITC Limited - ESPB,280.0,MAAT1,502336,846952,BP1140,ODA_1_1
8000785009,2019-05-11 08:58:00.0,RETAIL,120.0,LKOT1,403504,846974,BP1426,ODA_1_1
2000688842,2019-05-11 09:28:00.0,RETAIL,600.0,BOMT2,603306,846975,BP1036,ODA_1_1
8000745944,2019-05-11 09:01:00.0,RETAIL,77.0,BLRT1,581402,846976,BP1208,ODA_3_5
1002930309,2019-05-11 09:55:00.0,RETAIL,25.0,AMDT1,781124,846979,BP1091,ODA_2_2
